,position,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
4078,Defender,71,75,2400000.0,6000.0,25,185,78,Gil Vicente FC,Portuguese Liga ZON SAGRES,2023.0,Portugal,Left,3,2,1,Medium/Medium,66.0,36.0,54.0,61.0,71.0,73.0,69,31,69,58,33,63,56,37,43,62,64,68,53,69,56,45,69,74,73,36,73,71,50,45,41,56,72,71,69
4079,Forward,71,77,3000000.0,11000.0,23,173,67,BSC Young Boys,Swiss Super League,2023.0,Congo DR,Right,4,3,1,High/Medium,90.0,69.0,65.0,76.0,26.0,68.0,64,72,51,68,65,74,50,52,59,77,90,90,86,62,88,71,74,73,69,61,58,21,74,73,60,69,22,26,22
4080,Midfielder,71,76,2800000.0,18000.0,24,173,65,Al Shabab,Saudi Abdul L. Jameel League,2025.0,Brazil,Right,3,3,1,High/High,77.0,62.0,66.0,77.0,66.0,68.0,55,59,43,70,62,78,69,50,66,76,79,75,78,72,83,70,57,86,53,61,87,67,68,71,52,74,65,72,68
4081,Forward,71,85,4500000.0,11000.0,19,177,69,FC Red Bull Salzburg,Austrian Football Bundesliga,2024.0,Germany,Left,3,4,1,Medium/Medium,92.0,72.0,65.0,76.0,24.0,62.0,62,74,58,68,68,75,67,59,61,74,93,92,88,67,81,70,88,69,62,71,46,23,67,68,70,70,18,19,25
4082,Defender,71,76,2400000.0,6000.0,26,193,86,Portimonense SC,Portuguese Liga ZON SAGRES,2023.0,Brazil,Right,2,2,1,Medium/Medium,56.0,45.0,55.0,63.0,70.0,78.0,31,42,74,67,32,64,33,28,66,73,58,55,35,70,37,55,56,73,85,50,74,68,33,62,40,68,68,72,65
4083,Defender,71,74,2300000.0,8000.0,25,175,71,FC Arouca,Portuguese Liga ZON SAGRES,2022.0,Portugal,Right,3,3,1,High/Medium,68.0,55.0,62.0,67.0,71.0,65.0,54,49,62,66,45,64,61,64,62,69,71,66,66,72,72,68,89,81,51,57,75,70,58,64,61,71,71,74,72
4084,Defender,71,79,3900000.0,11000.0,21,191,83,FC Red Bull Salzburg,Austrian Football Bundesliga,2026.0,Poland,Right,3,2,1,High/High,81.0,47.0,64.0,66.0,69.0,82.0,65,41,70,67,25,62,58,34,68,67,80,82,73,66,72,68,74,82,84,47,77,68,59,62,36,68,67,71,66
4085,Forward,71,84,4500000.0,20000.0,19,182,70,Watford,English Premier League,2025.0,Brazil,Right,4,3,1,Medium/Medium,78.0,68.0,59.0,74.0,22.0,57.0,56,71,70,64,65,75,61,33,54,73,80,76,80,71,60,68,53,70,63,61,29,14,73,63,69,70,17,19,14
4086,Defender,71,83,4200000.0,4000.0,19,184,76,CD Tondela,Portuguese Liga ZON SAGRES,2022.0,Portugal,Right,3,2,1,Medium/Medium,58.0,31.0,47.0,57.0,72.0,66.0,32,28,68,66,30,51,30,35,50,65,49,65,40,71,56,44,80,38,75,23,75,71,28,35,43,76,72,73,70
4087,Midfielder,71,80,4000000.0,22000.0,22,186,76,FC Lokomotiv Moscow,Russian Premier League,2024.0,Russia,Right,3,2,1,Medium/High,62.0,34.0,59.0,58.0,73.0,74.0,50,30,61,68,36,58,34,20,64,59,60,63,48,70,57,49,73,75,76,27,67,74,26,62,47,52,75,74,72
4088,Midfielder,71,80,4200000.0,21000.0,21,184,75,AS Monaco,French Ligue 1,2026.0,Germany,Left,3,3,1,High/High,86.0,58.0,58.0,73.0,61.0,69.0,65,64,54,65,41,75,44,30,49,72,88,85,74,68,68,65,54,81,67,44,65,64,64,56,39,62,60,60,63
4089,Midfielder,71,80,4200000.0,9000.0,22,176,65,FC Luzern,Swiss Super League,2023.0,Senegal,Left,4,4,1,High/High,91.0,66.0,63.0,75.0,57.0,61.0,64,71,74,66,48,77,62,58,62,70,91,91,91,56,89,69,94,74,59,62,43,57,59,57,51,62,66,48,40
4090,Forward,71,76,2900000.0,10000.0,24,192,83,Royal Charleroi S.C.,Belgian Jupiler Pro League,2023.0,Jamaica,Right,4,3,1,Medium/Medium,68.0,74.0,58.0,65.0,23.0,77.0,53,73,67,64,65,67,48,56,51,67,62,73,57,65,49,84,63,73,83,71,68,16,71,60,61,69,15,21,19
4091,Defender,71,85,4200000.0,18000.0,19,187,83,FC Bayern München,German 1. Bundesliga,2024.0,France,Right,3,2,1,Low/High,69.0,37.0,55.0,62.0,71.0,74.0,37,32,72,69,37,62,41,31,66,65,70,68,55,65,56,57,77,69,77,25,70,69,36,50,42,65,70,73,68
4092,Midfielder,71,83,4400000.0,9000.0,19,170,65,Stade de Reims,French Ligue 1,2023.0,France,Left,2,3,1,High/Medium,78.0,64.0,67.0,76.0,34.0,49.0,68,65,48,71,64,77,66,56,63,74,80,77,85,60,86,71,39,60,48,55,41,29,64,65,64,64,32,34,35
4093,Defender,71,76,2600000.0,11000.0,24,193,75,KAA Gent,Belgian Jupiler Pro League,2025.0,Kenya,Right,3,2,1,Medium/High,71.0,49.0,63.0,61.0,70.0,75.0,58,52,78,71,52,54,45,39,70,68,70,72,64,68,68,47,77,75,80,47,63,70,46,60,45,65,71,69,65
4094,Midfielder,71,82,4000000.0,7000.0,18,178,73,Valencia CF,Spain Primera Division,2026.0,United States,Right,3,4,1,High/Medium,88.0,66.0,62.0,71.0,57.0,68.0,64,62,44,68,48,74,60,40,60,73,86,89,68,57,66,77,64,73,70,73,59,59,70,59,50,63,58,57,58
4095,Forward,71,80,4200000.0,700.0,21,165,63,Club Libertad,Paraguayan Primera División,2023.0,Paraguay,Right,3,4,1,High/Medium,80.0,67.0,56.0,72.0,37.0,60.0,36,69,64,68,54,72,62,59,36,75,81,79,78,68,76,72,62,52,57,66,78,45,69,69,42,51,40,22,25
4096,Midfielder,71,71,600000.0,550.0,36,167,66,Independiente del Valle,Ecuadorian Serie A,2021.0,Ecuador,Right,3,3,1,Medium/Medium,68.0,70.0,67.0,73.0,50.0,62.0,59,69,43,70,59,72,74,66,65,73,69,68,74,72,79,74,55,69,56,73,68,51,69,69,57,68,56,49,42
4097,Defender,71,84,4300000.0,4000.0,22,185,77,Belenenses SAD,Portuguese Liga ZON SAGRES,2023.0,Portugal,Left,2,2,1,Medium/High,67.0,34.0,49.0,50.0,71.0,74.0,35,22,69,64,25,36,32,27,59,61,65,69,59,71,58,66,80,73,73,28,76,71,29,38,44,61,73,71,68
4098,Forward,71,71,1500000.0,550.0,32,182,80,Deportivo La Guaira FC,Venezuelan Primera División,2021.0,Venezuela,Right,4,4,1,High/Low,78.0,69.0,65.0,71.0,27.0,61.0,54,71,68,75,59,74,33,32,62,71,75,80,73,69,65,71,65,69,69,65,30,23,71,75,58,56,28,20,16
4099,Defender,71,81,3900000.0,32000.0,20,177,68,Leicester City,English Premier League,2024.0,England,Left,2,2,1,High/High,77.0,42.0,63.0,67.0,67.0,67.0,68,39,61,66,47,67,51,49,66,68,78,76,68,68,67,44,72,77,59,39,72,68,69,58,39,58,69,67,64
4100,Forward,71,84,4500000.0,45000.0,19,185,82,Borussia Dortmund,German 1. Bundesliga,2022.0,Brazil,Right,4,4,1,Medium/Medium,77.0,68.0,64.0,75.0,43.0,65.0,58,68,59,67,70,77,72,55,57,74,83,72,78,68,69,72,54,69,67,64,60,31,68,70,69,74,42,47,40
4101,Midfielder,71,82,4000000.0,10000.0,19,178,72,1. FC Köln,German 1. Bundesliga,2024.0,Germany,Right,3,2,1,High/Medium,76.0,69.0,65.0,70.0,40.0,64.0,63,69,60,67,62,69,67,44,65,73,77,76,74,71,73,73,69,77,55,69,69,38,67,66,63,56,44,30,38
4102,Midfielder,71,74,2200000.0,5000.0,26,176,69,Philadelphia Union,USA Major League Soccer,2022.0,Venezuela,Right,3,2,1,Medium/High,71.0,43.0,59.0,67.0,70.0,79.0,47,45,60,71,34,66,37,32,65,68,70,72,70,60,73,59,72,79,78,29,84,70,31,60,44,59,73,72,69
4103,Midfielder,71,78,3600000.0,5000.0,22,173,70,Los Angeles FC,USA Major League Soccer,2022.0,Ecuador,Right,4,3,1,Medium/High,66.0,56.0,64.0,73.0,67.0,74.0,44,51,68,74,38,73,63,34,69,75,64,68,68,70,77,73,73,70,75,55,77,63,67,72,35,68,63,72,68
4104,Forward,71,83,4600000.0,23000.0,21,174,60,Bayer 04 Leverkusen,German 1. Bundesliga,2026.0,France,Left,3,2,1,Medium/Medium,84.0,72.0,64.0,74.0,35.0,52.0,61,75,63,70,58,75,70,52,59,74,85,84,76,64,80,75,41,66,53,66,36,24,70,63,68,68,34,35,35
4105,Midfielder,71,77,2700000.0,24000.0,23,173,76,Celtic,Scottish Premiership,2024.0,Côte d'Ivoire,Right,3,2,1,Medium/High,71.0,52.0,62.0,68.0,68.0,74.0,48,48,51,70,50,66,46,49,68,68,73,69,75,65,86,63,87,72,72,55,76,72,45,64,50,60,68,70,69
4106,Midfielder,71,82,4200000.0,4000.0,21,172,62,New York City FC,USA Major League Soccer,2023.0,Uruguay,Right,3,4,1,High/Low,77.0,62.0,65.0,74.0,37.0,48.0,58,68,36,69,51,74,57,53,62,72,81,73,87,70,68,52,52,58,45,60,41,38,68,71,56,60,34,42,31
4107,Midfielder,71,79,4200000.0,8000.0,22,175,74,Unión de Santa Fe,Argentina Primera División,2025.0,Argentina,Right,3,3,1,High/Medium,71.0,70.0,70.0,71.0,50.0,68.0,49,66,53,74,63,73,82,72,75,72,69,73,68,59,80,83,63,83,66,69,56,49,73,75,64,57,47,53,49
4108,Midfielder,71,78,3800000.0,9000.0,22,178,77,FC Lausanne-Sport,Swiss Super League,2023.0,Switzerland,Right,4,3,1,High/High,77.0,66.0,69.0,71.0,68.0,77.0,65,65,52,73,49,71,67,58,68,73,78,77,74,62,74,75,58,90,70,69,81,65,65,69,48,64,69,73,68
4109,Midfielder,71,84,4300000.0,500.0,17,185,74,AC Sparta Praha,Czech Republic Gambrinus Liga,2023.0,Czech Republic,Left,3,3,1,High/Low,72.0,63.0,68.0,74.0,35.0,54.0,61,64,43,73,65,75,63,59,64,73,71,73,80,73,71,60,68,69,47,60,51,29,69,73,67,69,33,35,48
4110,Midfielder,71,81,4200000.0,800.0,22,176,70,FC Luzern,Swiss Super League,2022.0,Serbia,Right,4,3,1,Medium/Medium,82.0,70.0,65.0,75.0,23.0,58.0,68,71,38,68,67,77,64,65,62,72,80,83,80,62,80,71,75,66,60,70,38,22,67,61,68,66,19,24,21
4111,Defender,71,83,4400000.0,6000.0,21,178,66,FC Porto,Portuguese Liga ZON SAGRES,2025.0,Portugal,Right,3,3,1,Medium/Medium,75.0,63.0,64.0,70.0,68.0,60.0,73,63,70,67,50,72,57,43,56,71,76,75,65,67,75,68,67,65,59,61,55,70,62,64,67,58,65,69,68
4112,Defender,71,81,4000000.0,30000.0,22,187,70,Hellas Verona,Italian Serie A,2022.0,Italy,Left,3,2,1,Medium/Medium,70.0,55.0,68.0,68.0,66.0,68.0,74,50,59,73,59,69,63,43,67,73,70,70,61,63,57,59,53,67,73,63,59,60,58,61,43,60,64,73,73
4113,Midfielder,71,76,2800000.0,550.0,24,189,81,Dinamo Zagreb,Croatian Prva HNL,2025.0,Croatia,Right,4,4,1,High/Low,63.0,72.0,73.0,77.0,40.0,68.0,74,67,61,76,71,81,67,73,71,78,65,62,67,61,69,78,53,65,79,76,47,34,58,70,83,82,37,42,37
4114,Midfielder,71,79,4100000.0,550.0,20,182,73,AC Sparta Praha,Czech Republic Gambrinus Liga,2023.0,Czech Republic,Right,3,2,1,Medium/Medium,73.0,65.0,69.0,72.0,66.0,74.0,61,63,65,73,60,71,64,68,72,71,73,73,74,71,76,66,72,79,68,68,84,66,67,68,60,71,64,68,66
4115,Midfielder,71,76,2900000.0,27000.0,22,173,71,Galatasaray SK,Turkish Süper Lig,2024.0,Turkey,Right,3,3,1,High/Medium,85.0,63.0,61.0,74.0,34.0,48.0,61,64,41,68,55,71,56,39,52,74,83,86,88,69,82,65,42,71,39,61,42,21,70,64,62,66,31,41,42
4116,Forward,71,83,4500000.0,700.0,20,180,75,Club Atlético Peñarol,Uruguayan Primera División,2024.0,Uruguay,Right,3,2,1,High/Low,72.0,71.0,60.0,67.0,32.0,68.0,46,71,74,71,72,64,63,54,54,67,74,70,69,72,74,71,78,69,74,69,50,28,73,58,68,68,25,30,24
4117,Defender,71,82,4000000.0,500.0,22,175,70,Shakhtar Donetsk,Ukrainian Premier League,2025.0,Ukraine,Left,2,2,1,High/Medium,75.0,43.0,71.0,70.0,65.0,76.0,78,36,73,73,35,73,68,60,71,63,76,75,77,52,84,68,78,82,76,35,68,61,55,63,34,72,62,66,71
4118,Forward,71,71,1600000.0,20000.0,31,184,77,Al Fateh,Saudi Abdul L. Jameel League,2023.0,Morocco,Left,5,3,1,High/Low,74.0,70.0,70.0,73.0,35.0,72.0,76,66,64,68,54,76,78,70,68,72,75,74,74,65,63,79,73,68,76,72,66,36,65,67,73,69,28,34,31
4119,Forward,71,76,2900000.0,6000.0,24,193,81,New York Red Bulls,USA Major League Soccer,2023.0,Brazil,Right,4,3,1,High/High,77.0,67.0,43.0,67.0,43.0,78.0,23,70,76,54,50,66,49,26,36,70,70,82,65,67,64,78,81,71,84,54,73,40,72,54,67,71,44,42,17
4120,Midfielder,71,74,2200000.0,7000.0,26,188,76,Legia Warszawa,Polish T-Mobile Ekstraklasa,2024.0,Ukraine,Right,3,2,1,Medium/Medium,57.0,62.0,64.0,63.0,66.0,72.0,43,64,56,74,48,63,50,52,72,72,58,56,49,71,47,55,58,72,78,67,61,70,58,70,77,53,67,66,62
4121,Midfielder,71,83,4500000.0,51000.0,20,176,68,Real Madrid CF,Spain Primera Division,2022.0,Spain,Right,3,4,1,High/Medium,61.0,56.0,67.0,66.0,62.0,58.0,46,55,49,75,37,65,56,65,73,70,63,59,61,68,57,52,61,69,53,64,58,69,67,75,60,73,60,70,46
4122,Midfielder,71,76,2800000.0,24000.0,24,183,78,Fenerbahçe SK,Turkish Süper Lig,2024.0,Portugal,Right,3,2,1,High/High,67.0,64.0,70.0,72.0,68.0,79.0,66,60,62,73,58,73,73,63,70,70,69,66,74,69,65,73,67,81,77,65,83,70,68,70,66,74,61,74,69
4123,Defender,71,71,1700000.0,600.0,28,183,77,Panathinaikos FC,Greek Super League,2024.0,Greece,Right,4,2,1,High/Medium,81.0,51.0,66.0,70.0,66.0,67.0,70,61,49,71,29,71,74,35,69,72,80,82,67,58,65,45,69,73,70,40,50,64,65,59,40,70,68,70,67
4124,Forward,71,81,4200000.0,15000.0,21,185,76,Cádiz CF,Spain Primera Division,2024.0,Montenegro,Right,5,3,1,Medium/Medium,76.0,70.0,60.0,65.0,39.0,71.0,64,74,72,63,58,66,56,49,57,65,79,74,55,70,75,74,68,65,74,63,70,30,73,59,63,59,35,38,34
4125,Midfielder,71,79,3900000.0,550.0,24,187,74,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,2026.0,Bosnia and Herzegovina,Left,3,2,1,High/High,61.0,62.0,67.0,71.0,65.0,73.0,57,61,54,70,61,71,60,49,74,78,59,62,53,71,55,62,61,78,72,66,72,66,68,71,48,74,64,70,61
4126,Defender,70,70,275000.0,6000.0,38,180,87,Derby County,English League Championship,2021.0,England,Right,3,2,2,Medium/Medium,32.0,44.0,55.0,52.0,72.0,62.0,48,30,73,66,44,44,55,31,68,62,32,32,31,70,61,64,66,30,74,52,73,71,44,39,55,74,73,72,69
4127,Midfielder,70,70,325000.0,4000.0,36,181,71,CD Tenerife,Spanish Segunda División,2022.0,Spain,Right,4,2,1,Medium/High,55.0,61.0,71.0,66.0,64.0,72.0,64,54,42,75,55,63,71,72,72,69,64,48,64,63,73,75,74,78,70,62,68,67,62,70,69,73,69,64,60
4128,Defender,70,70,350000.0,4000.0,39,169,67,Arsenal de Sarandí,Argentina Primera División,2021.0,Argentina,Left,2,3,1,Medium/Medium,70.0,47.0,72.0,70.0,65.0,65.0,72,39,57,73,45,65,85,59,71,73,78,63,79,68,83,55,79,75,57,51,67,65,62,71,57,58,69,62,66
4129,Defender,70,70,1400000.0,10000.0,30,179,69,Antalyaspor,Turkish Süper Lig,2023.0,Turkey,Left,3,3,1,Medium/Medium,80.0,65.0,68.0,71.0,65.0,65.0,70,58,50,66,72,71,76,75,67,69,79,81,75,69,73,74,65,71,64,68,60,62,66,68,63,65,65,70,68
4130,Midfielder,70,70,450000.0,3000.0,35,180,68,Rosenborg BK,Norwegian Eliteserien,2021.0,Norway,Right,2,2,1,Low/High,55.0,63.0,63.0,63.0,71.0,76.0,60,55,62,70,62,61,55,51,63,63,56,55,65,67,67,85,73,68,79,63,78,74,54,57,47,65,75,69,67
4131,Midfielder,70,70,650000.0,6000.0,35,177,71,Sunderland,English League One,2022.0,Republic of Ireland,Right,4,5,2,High/Medium,70.0,68.0,69.0,74.0,44.0,55.0,69,65,60,69,67,73,75,72,67,72,69,71,83,67,76,72,33,51,54,71,66,51,68,68,71,72,41,41,29
4132,Forward,70,70,550000.0,12000.0,37,193,85,FC Sion,Swiss Super League,2022.0,France,Right,3,3,2,Medium/Low,37.0,72.0,67.0,66.0,43.0,69.0,66,73,82,70,73,67,66,59,64,69,36,38,53,72,48,72,76,40,86,68,63,34,75,68,78,76,32,50,35
4133,Defender,70,70,425000.0,6000.0,35,189,85,SC Paderborn 07,German 2. Bundesliga,2022.0,Germany,Right,4,2,1,Medium/High,36.0,47.0,60.0,55.0,72.0,64.0,47,40,66,65,55,50,69,72,60,61,34,38,52,68,56,65,80,39,74,40,68,74,40,57,63,65,73,74,65
4134,Midfielder,70,70,325000.0,7000.0,37,183,80,Adana Demirspor,Turkish Süper Lig,2022.0,Switzerland,Right,5,2,3,Medium/Medium,39.0,67.0,72.0,68.0,68.0,68.0,68,56,64,75,70,70,71,68,74,72,41,38,54,62,61,82,61,60,73,76,66,68,61,69,72,74,68,72,63
4135,Defender,70,70,425000.0,2000.0,35,188,91,Wellington Phoenix,Australian Hyundai A-League,2022.0,England,Right,3,2,1,Medium/High,52.0,39.0,59.0,54.0,69.0,78.0,49,36,71,67,59,47,49,53,63,62,46,57,45,64,48,51,73,65,86,28,74,69,28,56,46,75,72,67,65
4136,Forward,70,70,550000.0,500.0,37,186,82,Club River Plate Asunción,Paraguayan Primera División,2026.0,Chile,Right,3,4,1,Medium/Medium,64.0,71.0,62.0,73.0,41.0,71.0,57,71,66,64,75,74,67,68,58,75,66,62,67,73,57,73,64,65,79,70,60,37,65,66,70,71,45,33,36
4137,Midfielder,70,70,500000.0,6000.0,36,180,78,San Lorenzo de Almagro,Argentina Primera División,2022.0,Paraguay,Right,3,2,1,Medium/Medium,34.0,60.0,75.0,65.0,65.0,66.0,64,55,60,80,42,62,65,67,79,74,35,33,51,71,57,71,37,32,82,57,75,68,69,78,90,74,68,63,58
4138,Midfielder,70,70,450000.0,8000.0,35,188,73,Royal Antwerp FC,Belgian Jupiler Pro League,2022.0,Belgium,Right,3,3,1,High/High,43.0,53.0,62.0,56.0,72.0,76.0,58,39,62,63,58,52,59,59,60,59,39,46,48,68,59,69,53,77,75,62,84,78,68,67,66,81,80,67,64
4139,Midfielder,70,70,325000.0,6000.0,37,186,81,Royal Charleroi S.C.,Belgian Jupiler Pro League,2022.0,Belgium,Right,3,3,2,High/High,55.0,66.0,66.0,67.0,69.0,75.0,60,64,72,67,68,65,67,65,67,71,51,58,61,68,60,69,80,72,76,65,75,72,74,70,69,75,69,67,66
4140,Defender,70,70,275000.0,6000.0,36,188,76,Derby County,English League Championship,2022.0,England,Right,3,2,2,Medium/High,45.0,36.0,45.0,53.0,72.0,63.0,25,32,73,60,33,42,26,25,58,63,46,44,54,66,50,49,75,35,75,34,65,75,42,40,33,70,74,70,69
4141,Forward,70,70,775000.0,7000.0,34,180,73,Sydney FC,Australian Hyundai A-League,2023.0,England,Right,3,3,1,High/Low,64.0,73.0,62.0,70.0,30.0,71.0,65,76,66,63,70,67,66,53,51,70,67,62,72,73,80,73,78,82,68,63,61,34,73,66,85,75,24,25,23
4142,Forward,70,70,775000.0,17000.0,34,186,76,Stoke City,English League Championship,2022.0,Scotland,Left,2,3,1,High/Medium,51.0,71.0,59.0,68.0,33.0,69.0,55,71,79,63,71,66,36,31,60,70,49,52,65,70,65,76,83,57,79,64,57,36,71,66,74,73,34,22,14
4143,Midfielder,70,70,650000.0,4000.0,35,175,67,Wisła Kraków,Polish T-Mobile Ekstraklasa,2022.0,Poland,Right,4,3,2,High/High,68.0,70.0,73.0,72.0,58.0,42.0,73,67,48,74,69,70,74,69,69,74,68,68,70,75,73,74,67,33,36,72,62,59,69,73,73,84,61,56,59
4144,Defender,70,70,525000.0,20000.0,34,184,77,PFC CSKA Moscow,Russian Premier League,2022.0,Russia,Right,3,2,2,Medium/High,68.0,59.0,62.0,60.0,70.0,73.0,64,60,65,65,32,56,52,46,70,63,68,68,63,63,67,66,72,74,72,60,74,71,58,53,55,64,70,72,70
4145,Midfielder,70,70,1600000.0,17000.0,29,172,73,Sheffield United,English League Championship,2022.0,England,Left,2,3,1,Medium/Medium,69.0,66.0,71.0,73.0,51.0,62.0,73,65,40,70,61,72,76,69,66,71,73,66,84,66,81,68,70,66,62,67,57,58,65,72,62,64,48,54,52
4146,Defender,70,70,350000.0,18000.0,37,176,74,Spartak Moskva,Russian Premier League,2022.0,Russia,Right,3,2,1,High/Medium,67.0,57.0,66.0,66.0,68.0,68.0,71,61,66,64,39,58,50,49,70,69,66,67,78,66,86,56,50,68,67,50,76,72,65,69,55,74,61,72,71
4147,Defender,70,70,275000.0,10000.0,36,190,86,Middlesbrough,English League Championship,2022.0,Côte d'Ivoire,Right,3,2,1,Medium/Medium,35.0,28.0,41.0,52.0,71.0,72.0,27,27,71,52,16,57,34,16,51,50,35,35,32,62,32,51,60,31,91,15,79,73,24,38,19,64,69,72,69
4148,Forward,70,70,1000000.0,28000.0,33,183,78,Nottingham Forest,English League Championship,2022.0,England,Right,3,3,1,Medium/Low,61.0,71.0,59.0,68.0,31.0,67.0,62,72,72,63,73,66,66,60,46,68,61,61,71,69,69,73,47,67,74,64,55,22,79,56,67,70,29,27,24
4149,Midfielder,70,70,750000.0,7000.0,34,178,72,Gallos Blancos de Querétaro,Mexican Liga MX,2026.0,Mexico,Right,4,3,1,Medium/Low,74.0,65.0,69.0,70.0,44.0,66.0,71,64,52,70,59,70,67,64,65,71,73,74,74,65,64,70,68,59,70,64,65,48,68,71,67,70,34,52,37
4150,Defender,70,70,1000000.0,6000.0,32,185,78,Western Sydney Wanderers,Australian Hyundai A-League,2023.0,Australia,Right,4,2,1,Medium/Medium,60.0,52.0,63.0,64.0,68.0,79.0,60,49,67,68,39,66,42,36,67,62,59,61,57,70,55,68,75,76,81,49,77,69,57,68,38,73,70,68,65
4151,Forward,70,70,1300000.0,9000.0,32,181,78,Club Universidad Nacional,Mexican Liga MX,2022.0,Panama,Right,2,3,1,High/Low,82.0,66.0,59.0,69.0,32.0,71.0,50,69,65,63,51,69,59,49,60,72,81,82,77,70,53,60,81,76,76,67,49,35,75,64,70,58,27,25,27
4152,Forward,70,70,1300000.0,10000.0,32,183,79,SV Zulte Waregem,Belgian Jupiler Pro League,2023.0,Belgium,Right,4,3,2,High/Medium,54.0,73.0,70.0,68.0,36.0,68.0,65,73,67,72,76,64,70,69,67,74,58,51,65,66,65,72,61,69,68,72,66,41,81,72,74,74,22,38,34
4153,Midfielder,70,70,650000.0,7000.0,35,187,86,Kasimpaşa SK,Turkish Süper Lig,2022.0,Morocco,Right,4,3,2,Medium/High,71.0,65.0,68.0,71.0,66.0,75.0,68,62,51,71,62,71,74,62,62,73,70,72,71,68,64,70,77,68,80,68,72,71,72,67,52,76,69,66,62
4154,Defender,70,70,1000000.0,8000.0,32,188,80,FC Lausanne-Sport,Swiss Super League,2024.0,Switzerland,Right,3,2,1,Medium/Medium,52.0,59.0,62.0,56.0,69.0,79.0,53,48,73,66,49,52,55,64,69,60,54,51,57,64,45,81,86,71,88,64,66,68,59,58,50,65,69,70,60
4155,Midfielder,70,70,500000.0,8000.0,36,183,80,Antalyaspor,Turkish Süper Lig,2022.0,Turkey,Right,3,3,1,Medium/High,37.0,68.0,73.0,67.0,65.0,71.0,69,63,67,75,60,66,73,77,74,70,36,37,62,60,69,77,60,65,73,74,77,67,67,74,57,72,64,66,63
4156,Defender,70,70,750000.0,6000.0,33,189,86,Legia Warszawa,Polish T-Mobile Ekstraklasa,2023.0,Poland,Right,3,2,1,Medium/Medium,57.0,48.0,56.0,61.0,68.0,79.0,61,43,67,62,52,60,47,34,62,61,62,52,56,65,61,69,80,72,82,39,81,71,58,42,34,66,65,70,65
4157,Defender,70,70,525000.0,15000.0,34,180,73,Parma,Italian Serie B,2023.0,Italy,Right,3,2,1,Low/High,76.0,32.0,49.0,55.0,73.0,71.0,56,28,66,56,37,40,48,12,40,65,73,79,74,72,62,57,65,84,67,14,67,73,28,47,38,61,76,74,71
4158,Midfielder,70,70,550000.0,6000.0,34,176,77,FC Twente,Holland Eredivisie,2022.0,Netherlands,Right,3,2,1,Low/High,40.0,52.0,66.0,66.0,68.0,68.0,63,43,63,70,45,65,64,50,69,68,41,39,60,71,70,69,78,70,67,56,64,73,56,62,53,73,70,65,63
4159,Defender,70,70,275000.0,11000.0,37,188,82,U.S. Sassuolo Calcio,Italian Serie A,2022.0,Italy,Left,3,2,2,Medium/Medium,49.0,49.0,58.0,59.0,73.0,67.0,68,41,76,62,31,59,69,47,62,60,49,49,55,66,46,65,67,59,72,57,65,70,50,38,48,71,74,72,72
4160,Midfielder,70,70,550000.0,5000.0,34,182,76,CD Lugo,Spanish Segunda División,2022.0,Spain,Right,3,2,1,Medium/Medium,48.0,59.0,66.0,63.0,66.0,77.0,61,49,58,68,57,58,58,65,67,70,56,41,59,71,60,80,67,70,84,59,73,75,57,70,66,72,68,64,59
4161,Forward,70,70,1000000.0,4000.0,33,179,82,Wellington Phoenix,Australian Hyundai A-League,2023.0,England,Right,3,3,1,Medium/Low,59.0,72.0,61.0,67.0,30.0,68.0,62,74,72,65,70,64,48,52,55,70,54,63,64,70,69,75,74,52,79,66,59,23,72,65,73,78,24,29,25
4162,Defender,70,70,1100000.0,7000.0,32,180,79,Club Atlético Aldosivi,Argentina Primera División,2021.0,Argentina,Left,2,3,2,High/Low,61.0,60.0,65.0,69.0,67.0,74.0,68,47,65,70,61,70,59,63,68,70,59,63,65,72,68,75,70,75,73,70,75,67,64,55,64,68,65,68,68
4163,Midfielder,70,70,450000.0,4000.0,35,181,76,Kashima Antlers,Japanese J. League Division 1,2022.0,Brazil,Right,3,3,1,High/High,49.0,67.0,70.0,71.0,65.0,76.0,65,66,55,72,55,73,63,68,70,71,51,47,75,63,61,70,83,81,75,70,72,70,63,72,63,67,64,65,63
4164,Defender,70,70,425000.0,3000.0,35,189,84,Türkgücü München,German 3. Bundesliga,2024.0,Albania,Left,3,2,2,Medium/Medium,34.0,27.0,51.0,42.0,72.0,70.0,44,25,77,60,33,29,43,43,45,55,34,34,38,64,44,29,71,50,78,26,74,66,20,49,51,63,72,76,70
