position,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,league_name,club_contract_valid_until,nationality_name,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
2,73,73,2900000.0,18000.0,30,171,69,Al Tai,Saudi Abdul L. Jameel League,2023.0,Algeria,0,3,3,1,5,73.0,69.0,74.0,74.0,32.0,59.0,74,70,58,76,63,77,68,74,70,75,74,73,72,65,65,69,60,66,58,72,53,27,66,73,64,62,33,27,28
2,73,76,4000000.0,1000.0,25,181,76,Al Ain FC,UAE Arabian Gulf League,2025.0,Morocco,1,4,3,1,5,85.0,74.0,67.0,71.0,38.0,64.0,65,76,61,72,73,74,68,66,51,67,87,84,75,65,76,70,65,79,62,74,49,41,73,73,67,68,35,34,30
0,72,72,1700000.0,23000.0,31,183,75,İstanbul Başakşehir FK,Turkish Süper Lig,2023.0,Turkey,0,2,2,1,5,70.0,54.0,65.0,68.0,71.0,73.0,68,42,60,69,42,68,74,49,67,69,70,70,66,64,73,72,62,82,69,66,73,70,65,57,40,69,74,72,71
1,72,72,1000000.0,15000.0,35,181,84,FC Girondins de Bordeaux,French Ligue 1,2022.0,France,1,3,3,2,5,59.0,71.0,71.0,71.0,46.0,70.0,70,72,73,75,71,71,68,65,67,71,55,63,66,75,66,72,75,62,74,68,70,42,75,72,72,75,42,46,40
0,72,72,425000.0,9000.0,37,172,71,FC Lorient,French Ligue 1,2024.0,Madagascar,0,2,2,2,4,50.0,44.0,60.0,57.0,74.0,71.0,56,36,75,65,40,51,57,50,64,58,44,54,55,67,77,62,84,60,71,41,82,75,50,56,53,72,76,70,72
0,72,72,525000.0,7000.0,36,175,75,Çaykur Rizespor,Turkish Süper Lig,2023.0,Turkey,1,3,3,2,5,71.0,63.0,69.0,72.0,72.0,69.0,68,58,74,71,57,72,65,48,70,70,70,72,73,67,78,70,80,73,64,65,75,72,72,71,67,74,70,75,66
1,72,72,2300000.0,13000.0,29,180,72,Gazişehir Gaziantep F.K.,Turkish Süper Lig,2024.0,Turkey,1,4,3,1,4,72.0,74.0,69.0,71.0,37.0,67.0,64,71,71,72,75,69,78,73,63,73,74,71,76,69,78,79,78,66,67,74,65,32,73,70,71,70,39,35,17
0,72,72,725000.0,3000.0,35,181,82,IFK Göteborg,Swedish Allsvenskan,2022.0,Sweden,0,3,3,1,4,60.0,62.0,72.0,68.0,71.0,68.0,75,56,66,73,50,66,74,60,69,70,62,59,66,75,70,71,69,69,67,64,68,72,71,70,65,73,72,71,71
1,72,72,800000.0,11000.0,37,177,70,Racing Club,Argentina Primera División,2021.0,Argentina,1,3,3,2,4,56.0,70.0,66.0,72.0,37.0,67.0,62,71,72,75,65,67,56,54,58,77,58,55,69,81,76,70,74,54,74,67,64,33,80,68,63,83,30,35,37
2,72,72,1200000.0,6000.0,33,188,79,Toronto FC,USA Major League Soccer,2021.0,United States,1,3,2,2,4,47.0,60.0,72.0,69.0,67.0,73.0,70,54,58,76,69,70,74,63,76,73,47,47,50,68,66,72,29,81,74,62,71,67,54,68,58,74,68,68,66
2,72,72,950000.0,9000.0,35,189,81,FC Luzern,Swiss Super League,2022.0,Germany,1,4,2,2,4,34.0,73.0,72.0,66.0,73.0,72.0,68,69,78,75,73,67,70,55,74,71,33,35,49,68,48,80,61,65,77,75,73,71,74,75,64,73,70,76,75
1,72,72,1000000.0,17000.0,35,175,70,Sheffield United,English League Championship,2022.0,England,1,3,2,1,5,56.0,74.0,62.0,65.0,39.0,67.0,61,79,76,66,74,58,65,55,53,71,60,52,64,77,71,72,55,53,72,64,75,33,80,65,75,82,39,34,28
2,72,72,750000.0,5000.0,36,178,70,AIK,Swedish Allsvenskan,2021.0,Sweden,1,3,3,1,5,51.0,69.0,77.0,67.0,68.0,71.0,80,62,65,77,73,63,84,82,75,72,51,51,63,75,72,77,72,83,62,73,80,71,66,70,75,74,71,66,60
1,72,72,1100000.0,14000.0,34,179,80,FCSB (Steaua),Romanian Liga I,2022.0,Romania,0,3,3,1,4,71.0,74.0,66.0,70.0,41.0,72.0,65,74,67,66,70,68,73,75,60,70,73,70,75,65,77,79,70,68,76,71,69,40,77,69,74,70,35,39,38
0,72,72,1100000.0,14000.0,33,182,76,Deportivo Toluca,Mexican Liga MX,2021.0,Mexico,0,2,2,1,5,66.0,46.0,60.0,65.0,68.0,88.0,63,34,70,62,52,64,71,51,61,65,64,68,69,67,54,59,80,83,91,50,87,67,53,50,63,70,64,70,71
2,72,72,1900000.0,24000.0,32,178,70,Preston North End,English League Championship,2022.0,England,1,4,4,1,5,81.0,73.0,65.0,75.0,41.0,63.0,63,74,60,72,68,73,73,62,49,74,82,80,87,72,80,75,32,73,67,68,47,40,76,64,80,77,46,33,28
1,72,72,1100000.0,38000.0,34,178,70,Southampton,English Premier League,2022.0,Republic of Ireland,1,2,3,2,6,81.0,69.0,61.0,72.0,36.0,67.0,72,68,76,64,67,74,54,37,49,71,83,80,69,74,72,73,92,58,64,64,80,42,76,63,72,67,31,27,24
2,72,72,800000.0,13000.0,34,188,80,Rayo Vallecano,Spain Primera Division,2022.0,Spain,1,4,2,2,5,41.0,65.0,70.0,64.0,68.0,75.0,64,60,68,73,43,60,66,70,72,73,34,47,57,70,43,79,58,64,82,68,74,70,64,71,59,74,64,71,70
0,72,72,850000.0,17000.0,34,177,74,Levante Unión Deportiva,Spain Primera Division,2022.0,Spain,1,4,3,2,5,60.0,66.0,67.0,68.0,73.0,65.0,74,66,83,71,56,66,70,46,63,73,63,58,64,67,62,74,80,59,62,60,75,73,69,60,71,66,74,70,70
0,72,72,750000.0,950.0,34,185,78,PAOK,Greek Super League,2022.0,Spain,1,3,2,1,4,68.0,40.0,66.0,61.0,72.0,75.0,68,32,62,70,33,54,60,27,69,68,69,68,63,72,65,55,71,76,74,40,78,74,57,64,41,69,73,73,73
0,72,72,1500000.0,38000.0,32,190,87,West Ham United,English Premier League,2023.0,New Zealand,1,3,2,2,4,40.0,51.0,45.0,41.0,73.0,68.0,28,46,77,55,30,34,33,38,50,43,38,41,49,71,39,69,71,34,81,53,78,73,42,44,55,55,70,74,74
1,72,72,1000000.0,3000.0,35,186,78,América de Cali,Colombian Liga Postobón,2021.0,Colombia,1,3,3,1,4,69.0,72.0,64.0,68.0,42.0,72.0,67,70,74,66,70,64,67,48,57,71,68,70,67,70,67,80,88,69,75,68,62,43,78,67,73,78,44,33,28
2,72,72,800000.0,4000.0,34,184,77,IFK Göteborg,Swedish Allsvenskan,2023.0,Sweden,1,2,3,1,3,36.0,45.0,61.0,63.0,69.0,81.0,49,34,65,68,45,64,55,33,68,66,39,34,47,70,59,66,74,85,80,47,80,68,50,64,45,70,67,73,72
2,72,72,1900000.0,21000.0,32,187,78,Stoke City,English League Championship,2022.0,Bosnia and Herzegovina,0,3,3,1,4,50.0,70.0,75.0,72.0,58.0,69.0,69,66,52,76,71,70,77,79,75,76,53,47,71,72,65,76,53,70,72,75,65,59,68,78,55,73,55,65,47
2,72,72,1600000.0,4000.0,32,188,82,Dijon FCO,French Ligue 2,2023.0,France,1,2,2,2,5,44.0,54.0,65.0,64.0,71.0,81.0,59,51,68,71,32,62,52,41,69,69,34,53,58,68,48,66,73,80,83,54,77,68,63,65,48,70,70,74,70
0,72,72,1100000.0,950.0,33,183,83,PAOK,Greek Super League,2022.0,Cape Verde Islands,1,3,2,1,4,63.0,44.0,54.0,59.0,71.0,81.0,59,43,74,56,38,55,51,47,51,61,65,62,58,68,72,45,80,72,87,42,78,70,44,52,54,68,71,69,71
2,72,72,1900000.0,13000.0,31,172,67,Udinese Calcio,Italian Serie A,2022.0,Italy,1,3,4,1,5,75.0,71.0,69.0,75.0,48.0,64.0,66,70,59,73,71,74,70,65,61,75,79,71,84,66,85,73,84,59,62,70,71,42,71,73,67,73,50,49,36
1,72,72,1500000.0,19000.0,33,180,80,Fortuna Düsseldorf,German 2. Bundesliga,2022.0,Germany,0,3,3,1,6,58.0,78.0,61.0,66.0,40.0,75.0,60,79,72,63,71,64,70,68,57,68,60,57,60,72,67,82,72,72,76,76,75,36,74,58,79,69,38,35,34
1,72,72,2000000.0,7000.0,31,184,81,D.C. United,USA Major League Soccer,2021.0,Norway,1,3,3,1,4,73.0,72.0,58.0,70.0,33.0,79.0,54,72,69,62,77,69,61,52,48,70,70,76,73,73,69,74,86,80,81,68,69,34,74,63,71,72,39,20,19
1,72,72,2000000.0,12000.0,31,175,76,Yukatel Kayserispor,Turkish Süper Lig,2022.0,Switzerland,1,4,3,1,4,62.0,72.0,59.0,71.0,38.0,64.0,50,75,78,65,73,68,56,55,56,74,65,60,78,65,83,78,85,61,67,58,56,43,75,61,76,65,25,39,24
0,72,72,1500000.0,32000.0,32,190,83,Watford,English Premier League,2023.0,Northern Ireland,1,3,2,1,5,35.0,37.0,55.0,53.0,74.0,71.0,39,29,76,67,30,47,39,39,64,58,34,35,50,72,50,56,67,57,77,41,73,73,33,52,28,71,77,73,72
2,72,72,1900000.0,11000.0,32,180,75,Çaykur Rizespor,Turkish Süper Lig,2022.0,Brazil,0,5,4,1,5,66.0,69.0,70.0,71.0,59.0,64.0,63,69,60,73,65,72,65,74,72,74,69,64,68,69,65,68,52,59,65,71,70,62,73,72,66,66,59,57,54
0,72,72,1100000.0,6000.0,33,189,84,Portland Timbers,USA Major League Soccer,2021.0,Congo DR,1,3,2,1,3,43.0,44.0,51.0,51.0,72.0,84.0,40,40,80,56,33,51,48,37,54,56,42,44,30,65,32,48,71,79,89,50,83,71,27,55,58,58,70,71,71
0,72,72,750000.0,23000.0,34,189,80,İstanbul Başakşehir FK,Turkish Süper Lig,2022.0,Moldova,0,2,2,1,3,35.0,53.0,54.0,56.0,74.0,76.0,39,53,78,67,62,56,39,52,69,61,34,35,32,67,34,64,61,67,84,41,73,71,53,41,51,76,73,76,71
1,72,72,1500000.0,21000.0,33,187,84,1. FC Köln,German 1. Bundesliga,2023.0,France,1,4,3,2,3,62.0,72.0,63.0,69.0,35.0,77.0,62,72,78,67,75,69,66,56,55,70,60,63,65,76,62,73,85,58,86,70,75,15,73,62,78,74,42,31,19
2,72,72,1400000.0,11000.0,33,175,67,Atakaş Hatayspor,Turkish Süper Lig,2022.0,Portugal,1,4,4,1,4,70.0,69.0,74.0,79.0,64.0,66.0,72,62,61,75,72,80,82,73,74,79,72,68,78,68,81,79,68,67,62,72,73,64,65,74,71,83,67,63,58
2,72,72,450000.0,600.0,36,168,65,Club Atlético Peñarol,Uruguayan Primera División,2021.0,Uruguay,1,3,2,1,6,67.0,52.0,63.0,65.0,69.0,71.0,40,42,44,74,48,55,52,59,69,73,72,62,75,60,80,70,81,74,65,52,80,72,60,65,59,75,65,76,78
0,72,72,425000.0,8000.0,36,186,85,FCSB (Steaua),Romanian Liga I,2022.0,Brazil,1,2,2,1,4,39.0,52.0,55.0,53.0,72.0,82.0,47,49,72,60,55,49,53,50,59,53,47,33,57,69,48,62,90,69,88,55,79,71,39,53,46,70,70,73,72
0,72,72,625000.0,9000.0,35,190,90,ESTAC Troyes,French Ligue 1,2022.0,France,1,3,2,3,4,46.0,48.0,53.0,58.0,71.0,77.0,36,45,71,63,39,56,43,55,66,60,39,51,50,70,53,70,70,56,88,41,77,71,24,44,48,73,72,71,70
2,72,72,1600000.0,10000.0,32,183,80,FC Basel 1893,Swiss Super League,2022.0,Switzerland,1,3,3,1,4,57.0,70.0,71.0,69.0,69.0,74.0,70,68,67,72,71,69,70,67,72,72,54,60,59,67,63,74,68,82,74,70,63,72,68,69,66,74,70,67,65
0,72,72,1600000.0,29000.0,31,191,85,Brentford,English Premier League,2022.0,Denmark,1,2,2,1,4,52.0,39.0,57.0,54.0,72.0,79.0,47,34,71,65,40,46,35,26,62,60,53,52,60,67,59,62,72,67,83,30,84,70,43,62,27,67,71,75,70
2,72,72,800000.0,16000.0,34,182,78,VfL Bochum 1848,German 1. Bundesliga,2022.0,Germany,1,4,2,1,5,58.0,67.0,68.0,68.0,71.0,71.0,66,64,70,71,69,66,69,62,68,71,61,55,65,71,73,71,81,74,70,71,68,73,68,66,62,70,70,72,68
0,72,72,1600000.0,19000.0,31,188,78,Swansea City,English League Championship,2023.0,England,1,2,2,1,3,38.0,25.0,46.0,36.0,74.0,71.0,27,20,73,65,16,24,22,25,65,48,36,39,30,66,34,43,73,51,77,22,81,72,22,31,28,54,74,75,74
0,72,72,1600000.0,21000.0,32,173,73,LOSC Lille,French Ligue 1,2022.0,France,1,3,2,1,4,59.0,64.0,72.0,72.0,72.0,66.0,72,58,69,75,63,73,73,69,70,74,64,55,66,68,77,77,68,61,66,67,73,73,69,67,55,69,73,73,71
0,72,72,1700000.0,14000.0,31,174,74,Club Tijuana,Mexican Liga MX,2021.0,Colombia,0,3,3,1,4,78.0,54.0,62.0,68.0,69.0,73.0,71,50,60,63,25,67,62,46,59,67,80,77,75,68,68,71,72,76,75,58,64,69,56,58,34,67,71,71,70
1,72,72,1900000.0,13000.0,32,175,68,Standard de Liège,Belgian Jupiler Pro League,2022.0,Morocco,0,3,4,2,4,71.0,69.0,69.0,77.0,32.0,48.0,68,66,32,70,66,79,75,71,69,75,75,67,80,66,77,74,73,53,44,70,47,33,72,67,70,78,26,38,30
0,72,72,1900000.0,11000.0,30,188,91,Oud-Heverlee Leuven,Belgian Jupiler Pro League,2022.0,Belgium,1,2,2,1,5,43.0,41.0,48.0,41.0,72.0,81.0,36,33,77,58,22,30,33,39,61,48,35,49,33,68,50,70,40,69,90,35,83,71,37,38,40,72,70,73,72
1,72,72,1900000.0,9000.0,32,196,89,Legia Warszawa,Polish T-Mobile Ekstraklasa,2022.0,Czech Republic,1,3,2,1,4,50.0,72.0,53.0,59.0,33.0,77.0,36,73,78,67,70,58,46,34,45,68,48,52,34,76,34,75,73,72,88,65,56,28,83,59,69,73,31,27,24
0,72,72,625000.0,6000.0,35,185,82,Godoy Cruz,Argentina Primera División,2022.0,Argentina,1,3,2,1,5,38.0,52.0,59.0,60.0,70.0,82.0,58,55,80,68,60,58,57,46,65,62,42,35,56,70,45,64,88,76,86,27,76,67,46,45,83,73,68,70,73
2,72,72,1900000.0,35000.0,31,183,79,Watford,English Premier League,2023.0,England,1,3,3,1,4,50.0,68.0,71.0,68.0,70.0,67.0,68,66,65,75,64,65,63,57,74,73,51,50,62,74,67,71,64,66,65,73,73,71,70,71,61,76,70,70,68
1,72,72,1900000.0,4000.0,32,184,73,Lecce,Italian Serie B,2022.0,Italy,1,4,3,1,4,63.0,74.0,51.0,69.0,25.0,62.0,35,76,75,62,63,67,67,68,39,73,67,59,62,73,64,77,53,55,72,72,50,26,75,48,67,70,18,17,16
0,72,72,1700000.0,6000.0,31,179,70,Inter Miami CF,USA Major League Soccer,2022.0,England,0,2,3,2,5,74.0,57.0,68.0,72.0,69.0,69.0,70,51,65,72,47,71,66,52,65,72,73,74,76,72,74,67,71,69,67,59,72,71,68,65,63,72,70,69,69
2,72,72,1900000.0,58000.0,31,178,80,Reading,English League Championship,2022.0,England,1,4,3,1,4,53.0,66.0,73.0,72.0,70.0,63.0,64,60,61,76,69,71,72,69,77,73,60,48,67,75,76,75,52,50,67,71,74,72,68,76,53,77,69,71,70
1,72,72,2300000.0,750.0,29,185,77,Panathinaikos FC,Greek Super League,2023.0,Italy,1,3,3,2,3,69.0,73.0,58.0,71.0,30.0,63.0,59,75,70,68,72,71,69,51,25,74,67,70,70,68,65,73,70,65,71,69,41,35,75,63,72,70,38,11,12
0,72,72,1900000.0,27000.0,30,194,94,West Bromwich Albion,English League Championship,2023.0,England,1,3,2,1,5,53.0,27.0,49.0,50.0,72.0,81.0,39,24,73,65,23,44,33,34,53,60,52,53,34,63,40,36,61,68,90,20,78,69,25,38,46,66,72,74,72
2,72,72,1900000.0,9000.0,31,178,75,Fútbol Club Juárez,Mexican Liga MX,2022.0,Mexico,1,4,4,1,3,61.0,74.0,73.0,75.0,34.0,62.0,74,68,61,75,77,73,79,79,69,77,60,61,74,67,90,82,68,53,66,80,64,34,70,70,73,70,20,38,34
1,72,72,1900000.0,12000.0,32,193,88,San Lorenzo de Almagro,Argentina Primera División,2023.0,Argentina,1,3,3,2,5,68.0,71.0,66.0,70.0,45.0,76.0,60,72,77,71,73,69,69,49,63,73,67,68,65,72,64,74,67,73,79,66,72,43,72,69,72,72,47,38,32
2,72,72,1200000.0,5000.0,33,185,79,FC Vizela,Portuguese Liga ZON SAGRES,2022.0,Brazil,1,3,3,1,3,53.0,66.0,70.0,70.0,69.0,71.0,66,61,66,74,65,70,67,67,70,74,51,55,60,70,61,71,62,69,70,72,80,72,69,70,60,70,68,70,66
2,72,72,2200000.0,14000.0,30,182,78,Queens Park Rangers,English League Championship,2024.0,Norway,0,3,3,1,6,65.0,67.0,73.0,71.0,68.0,72.0,70,65,53,74,64,67,72,75,73,74,64,66,72,73,74,72,64,78,66,71,82,65,68,74,51,76,73,70,63
0,72,72,850000.0,28000.0,34,172,67,Club América,Mexican Liga MX,2022.0,Mexico,0,2,3,1,5,72.0,57.0,67.0,67.0,72.0,69.0,67,50,70,70,52,62,65,55,65,70,70,73,73,68,74,68,86,75,64,62,70,72,62,65,60,65,73,72,66
0,72,72,1600000.0,14000.0,31,184,79,Santos Laguna,Mexican Liga MX,2023.0,Mexico,1,2,2,1,3,47.0,48.0,53.0,56.0,72.0,81.0,44,41,72,64,45,52,39,42,57,61,52,42,46,66,54,63,70,71,90,52,75,71,40,46,50,70,74,72,69
0,72,72,1500000.0,26000.0,32,192,83,PFC CSKA Moscow,Russian Premier League,2022.0,Russia,1,3,2,1,4,67.0,41.0,58.0,46.0,72.0,74.0,51,30,73,62,38,33,72,62,64,63,68,66,37,66,43,71,75,60,80,36,75,75,25,51,68,66,69,73,71
2,72,72,2300000.0,14000.0,29,180,79,İttifak Holding Konyaspor,Turkish Süper Lig,2023.0,Congo DR,1,4,4,1,5,71.0,72.0,74.0,73.0,46.0,68.0,74,68,54,73,73,74,76,76,75,74,74,69,68,67,71,75,72,68,71,76,58,52,70,72,75,76,37,50,41
1,72,72,2400000.0,28000.0,28,175,79,İstanbul Başakşehir FK,Turkish Süper Lig,2022.0,Norway,1,3,3,1,6,86.0,70.0,61.0,74.0,36.0,76.0,61,70,61,67,67,73,68,53,51,73,87,86,85,69,83,77,89,81,74,67,71,38,74,56,59,62,39,29,19
0,72,72,1500000.0,4000.0,32,188,84,Dijon FCO,French Ligue 2,2022.0,Gabon,1,3,2,2,4,42.0,35.0,56.0,49.0,71.0,83.0,59,27,77,62,28,44,35,25,65,59,34,48,31,69,32,58,90,78,86,34,82,70,23,51,46,67,71,69,69
0,72,72,1600000.0,16000.0,32,178,70,1. FSV Mainz 05,German 1. Bundesliga,2022.0,Germany,1,3,3,1,4,70.0,59.0,69.0,69.0,68.0,67.0,74,54,64,67,56,69,77,77,64,66,72,69,74,72,74,63,76,73,62,60,71,67,66,65,88,67,73,65,70
2,72,72,1900000.0,11000.0,32,185,84,Çaykur Rizespor,Turkish Süper Lig,2023.0,Congo DR,1,3,5,2,4,76.0,68.0,66.0,76.0,34.0,75.0,69,65,69,68,53,79,65,49,63,75,75,77,75,70,67,80,85,66,79,67,76,31,72,65,65,73,29,34,17
0,72,72,1700000.0,6000.0,31,188,79,SV Sandhausen,German 2. Bundesliga,2022.0,Germany,1,2,3,1,6,82.0,40.0,64.0,64.0,68.0,74.0,71,26,66,65,28,65,56,53,65,66,80,84,58,70,49,69,68,78,74,39,68,68,53,57,44,70,68,68,69
2,72,72,1900000.0,21000.0,31,173,70,Reading,English League Championship,2022.0,Canada,1,3,3,2,4,82.0,69.0,68.0,74.0,36.0,61.0,69,67,55,70,69,73,68,65,59,72,84,81,84,70,83,75,70,55,61,69,66,42,69,69,68,69,24,39,28
2,72,72,1500000.0,11000.0,33,177,78,Aytemiz Alanyaspor,Turkish Süper Lig,2023.0,Portugal,1,4,4,1,5,75.0,64.0,69.0,72.0,56.0,79.0,70,64,55,71,62,72,73,69,66,71,76,75,82,64,77,66,59,86,76,62,85,52,72,67,59,65,58,59,52
2,72,72,1100000.0,7000.0,34,175,75,LA Galaxy,USA Major League Soccer,2021.0,Spain,1,2,3,1,3,38.0,68.0,76.0,73.0,46.0,58.0,71,66,49,79,69,73,78,73,73,76,38,38,61,70,73,68,32,46,68,70,55,49,74,78,71,76,45,50,28
1,72,72,2300000.0,20000.0,30,186,86,Trabzonspor,Turkish Süper Lig,2024.0,Guinea,1,5,3,1,3,79.0,69.0,60.0,70.0,23.0,68.0,62,71,71,67,60,72,52,42,52,73,74,83,69,65,54,79,77,65,85,60,26,27,70,57,61,57,12,15,19
0,72,74,2400000.0,18000.0,28,181,68,CA Osasuna,Spain Primera Division,2022.0,Angola,1,2,2,1,4,70.0,35.0,57.0,57.0,71.0,73.0,59,40,72,69,44,52,57,34,52,60,66,73,66,69,53,22,85,65,76,34,72,71,39,44,41,66,69,72,73
0,72,72,2000000.0,17000.0,30,172,74,FC Nantes,French Ligue 1,2022.0,Brazil,1,4,3,2,4,75.0,54.0,69.0,73.0,70.0,67.0,70,43,59,73,59,71,57,60,67,72,74,76,77,71,83,72,76,63,63,56,81,71,68,66,60,73,71,70,71
1,72,72,1900000.0,7000.0,31,177,72,Grenoble Foot 38,French Ligue 2,2023.0,France,1,3,3,1,4,72.0,67.0,72.0,74.0,38.0,67.0,75,62,50,74,60,73,73,69,65,73,73,72,77,72,78,77,52,80,65,69,57,40,74,73,61,72,38,33,35
0,72,72,1100000.0,8000.0,33,186,78,SD Eibar,Spanish Segunda División,2022.0,Spain,1,3,2,1,3,39.0,35.0,49.0,56.0,73.0,77.0,36,29,75,67,38,47,35,43,59,65,33,43,66,63,48,54,80,67,81,34,80,70,28,30,30,66,73,75,68
2,72,72,1800000.0,8000.0,32,182,68,CD Tenerife,Spanish Segunda División,2023.0,Spain,1,4,3,2,4,44.0,66.0,78.0,72.0,55.0,53.0,75,64,53,81,61,72,77,70,77,78,46,42,60,73,60,66,49,43,58,72,55,60,60,78,70,66,58,52,46
2,72,72,2300000.0,25000.0,30,182,75,İstanbul Başakşehir FK,Turkish Süper Lig,2022.0,Serbia,0,4,3,1,5,71.0,74.0,74.0,74.0,46.0,73.0,73,71,56,74,65,75,80,79,72,75,69,72,79,62,68,81,68,80,71,77,72,44,66,74,70,69,41,47,50
2,72,72,2000000.0,9000.0,30,186,82,FC Schalke 04,German 2. Bundesliga,2023.0,Iceland,1,3,2,1,5,78.0,56.0,61.0,62.0,72.0,81.0,47,51,69,69,46,57,51,52,63,65,68,86,67,68,59,69,90,78,80,57,83,72,51,62,57,70,73,71,75
1,72,72,2500000.0,19000.0,27,187,82,SpVgg Greuther Fürth,German 1. Bundesliga,2022.0,Norway,1,4,3,1,4,79.0,70.0,67.0,71.0,42.0,75.0,66,71,66,73,71,72,64,36,59,73,71,85,67,72,63,75,72,79,77,64,66,43,73,70,56,71,43,36,33
1,72,72,1500000.0,17000.0,33,185,83,F.C. København,Danish Superliga,2023.0,Poland,0,3,3,1,4,60.0,73.0,65.0,68.0,41.0,81.0,62,74,73,68,69,67,56,43,64,71,64,56,61,73,68,79,81,72,86,66,79,56,75,69,67,70,26,39,25
1,72,72,1500000.0,7000.0,33,175,74,Seattle Sounders FC,USA Major League Soccer,2021.0,Colombia,1,4,4,2,3,64.0,74.0,70.0,74.0,43.0,63.0,67,71,74,70,78,72,78,74,65,74,66,63,79,72,79,77,70,70,64,74,52,40,75,73,82,77,38,46,27
2,72,72,650000.0,4000.0,35,180,70,Minnesota United FC,USA Major League Soccer,2021.0,Cuba,1,4,2,2,5,56.0,65.0,66.0,72.0,68.0,74.0,47,55,64,79,69,73,66,51,75,73,60,52,65,70,72,84,64,60,77,66,86,65,63,60,66,77,70,70,69
0,72,72,850000.0,12000.0,34,177,69,CFR Cluj,Romanian Liga I,2024.0,Romania,0,3,3,1,5,72.0,57.0,68.0,64.0,67.0,71.0,71,50,58,68,47,61,65,66,69,66,70,74,70,69,76,68,60,87,67,65,66,69,62,63,57,54,66,68,69
1,72,72,2000000.0,13000.0,31,190,78,Aarhus GF,Danish Superliga,2023.0,Denmark,1,3,2,1,4,52.0,72.0,54.0,66.0,33.0,81.0,39,76,74,67,65,64,38,33,40,72,54,51,61,70,51,79,91,79,88,57,64,26,78,64,78,73,28,30,25
0,72,72,1700000.0,18000.0,31,173,63,Hannover 96,German 2. Bundesliga,2022.0,Sweden,0,3,3,1,6,76.0,59.0,69.0,72.0,66.0,65.0,72,58,50,73,56,71,65,51,65,71,80,73,77,70,81,67,78,76,56,57,70,68,64,67,50,74,67,70,65
0,72,72,1700000.0,7000.0,31,177,69,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,2024.0,Portugal,0,2,3,1,5,73.0,57.0,65.0,69.0,72.0,69.0,66,49,63,65,59,67,66,70,62,70,73,73,73,70,74,62,79,69,67,72,72,74,62,65,37,73,72,73,71
0,72,72,2000000.0,7000.0,30,176,79,Sydney FC,Australian Hyundai A-League,2022.0,Australia,1,3,3,1,5,74.0,62.0,67.0,69.0,66.0,82.0,68,60,55,73,53,67,59,51,59,68,77,71,79,65,75,67,86,95,77,64,77,68,65,67,56,70,66,66,68
1,72,72,1900000.0,14000.0,32,187,92,Rosario Central,Argentina Primera División,2022.0,Argentina,0,3,3,1,4,41.0,74.0,61.0,68.0,27.0,79.0,64,76,86,65,70,70,55,47,55,71,49,34,62,66,34,76,81,63,91,68,69,25,75,58,78,73,21,19,18
2,72,72,2300000.0,31000.0,29,185,67,Stoke City,English League Championship,2022.0,Saint Kitts and Nevis,1,3,3,1,4,69.0,60.0,70.0,73.0,61.0,70.0,57,58,55,78,62,70,65,51,75,75,68,69,79,69,78,60,42,77,70,66,68,58,62,73,57,76,66,63,52
1,72,72,2300000.0,14000.0,29,178,68,Standard de Liège,Belgian Jupiler Pro League,2022.0,Belgium,0,4,3,1,5,76.0,70.0,69.0,75.0,36.0,53.0,70,69,52,67,69,75,73,69,69,73,77,75,84,70,79,73,76,66,43,70,54,35,72,70,67,73,41,27,34
2,72,72,2300000.0,20000.0,29,179,72,Trabzonspor,Turkish Süper Lig,2023.0,Turkey,1,4,4,2,4,68.0,66.0,73.0,75.0,33.0,55.0,70,66,40,75,68,75,74,69,70,76,71,66,76,69,79,64,64,70,52,65,43,46,70,74,81,72,31,29,21
2,72,72,2200000.0,13000.0,30,184,73,Benevento,Italian Serie B,2023.0,Moldova,1,4,3,2,5,61.0,69.0,70.0,71.0,73.0,76.0,68,64,74,73,61,70,69,65,72,74,62,60,63,73,68,75,78,74,76,74,80,73,74,69,65,73,72,75,73
0,72,72,2000000.0,35000.0,29,193,76,Brighton & Hove Albion,English Premier League,2023.0,Republic of Ireland,1,3,2,1,4,41.0,47.0,49.0,48.0,72.0,79.0,38,40,79,60,30,45,37,33,60,55,40,42,32,62,36,62,87,63,84,49,83,72,58,41,45,57,68,73,71
0,72,72,1600000.0,15000.0,31,185,78,RC Strasbourg Alsace,French Ligue 1,2023.0,France,0,3,2,1,4,64.0,39.0,67.0,66.0,72.0,71.0,70,35,73,72,38,62,42,40,74,70,61,66,63,69,63,56,77,63,74,33,71,72,27,65,42,74,71,72,71
